,question,answer
0,Qual é a edição do Código Penal mencionado?,"A 6ª edição, atualizada até fevereiro de 2023."
1,Quem é o presidente do Senado Federal para o biênio 2023-2024?,Senador Rodrigo Pacheco.
2,Qual é o número do Decreto-lei que institui o Código Penal no Brasil?,Decreto-lei nº 2.848 de 1940.
3,O que aborda a Parte Geral do Código Penal?,"A Parte Geral do Código Penal aborda a aplicação da lei penal, do crime, da imputabilidade penal e das penas."
4,"Qual é a pena para o crime de homicídio simples, conforme o Código Penal?","A pena é de reclusão, de seis a vinte anos."
5,O que caracteriza o homicídio qualificado?,"O homicídio qualificado é caracterizado por motivos torpes, emprego de veneno, traição, entre outros."
6,"O que é considerado furto, segundo o artigo 155 do Código Penal?","Subtrair coisa alheia móvel, para si ou para outrem."
7,Qual é a pena para o crime de roubo?,"A pena é de reclusão, de quatro a dez anos, e multa."
8,"O que constitui a extorsão, de acordo com o Código Penal?","Constranger alguém, mediante violência ou grave ameaça, para obter vantagem indevida."
9,O que é considerado como concurso de pessoas no crime?,"Quem, de qualquer modo, concorre para o crime incide nas penas a este cominadas."
10,O que é a legítima defesa?,"É o direito de repelir injusta agressão, atual ou iminente, a direito próprio ou de outrem."
11,Quais são as espécies de pena mencionadas no Código Penal?,"São as penas privativas de liberdade, restritivas de direitos e de multa."
12,O que é considerado crime impossível?,Não se pune a tentativa quando é impossível consumar-se o crime devido à ineficácia absoluta do meio ou impropriedade do objeto.
13,Qual é a penalidade para a violação de domicílio?,"A pena é de detenção, de um a três meses, ou multa."
14,"O que é peculato, segundo o Código Penal?","Apropriar-se o funcionário público de bem alheio, de que tem a posse em razão do cargo."
15,O que caracteriza o crime de estelionato?,"Obter, para si ou para outrem, vantagem ilícita, induzindo ou mantendo alguém em erro, mediante artifício."
16,Como é definido o furto qualificado?,O furto qualificado tem pena aumentada e ocorre em situações como uso de violência ou condições especiais.
17,A quem se aplica as penas restritivas de direitos?,"As penas restritivas de direitos são aplicáveis a condenações específicas, quando a pena privativa de liberdade não excede quatro anos, entre outras condições."
18,O que constitui mucosidade doméstica?,"Omissão de socorro, quando possível, a uma pessoa incapaz ou ferida."
19,Quais crimes são considerados hediondos pelo Código Penal?,"Homicídio qualificado, tráfico de drogas, entre outros, definidos especificamente na legislação."
20,O que caracteriza a tentativa de crime?,"Iniciada a execução do crime, mas não consumada por circunstâncias alheias à vontade do agente."
21,O que se entende por erro de proibição?,"O erro sobre a ilicitude do fato que, se inevitável, pode isentar de pena; se evitável, pode reduzir a pena."
22,O que é a pena de lavratura de documento falso?,"A pena é de reclusão, de 3 (três) a 6 (seis) anos, e multa."
23,O que deve ser considerado pelo juiz na fixação da pena?,"Culpabilidade, antecedentes e circunstâncias do crime, entre outros fatores."
24,Quando o arrependimento posterior pode diminuir a pena?,Se o agente repara o dano até o recebimento da denúncia ou queixa.
25,Qual é a pena para a adulteração de sinal identificador de veículo automotor?,"A pena é de reclusão, de três a seis anos, e multa."
26,Qual a penalidade para quem divulga conteúdo de documento particular sem autorização?,"A pena é de detenção, de três meses a um ano, ou multa."
27,O que caracteriza a coação no curso do processo?,Usar de violência ou grave ameaça contra autoridade ou qualquer pessoa que participe do processo judicial.
28,O que acontece em caso de dissolução de penalidade?,Extinção da punibilidade nos casos previstos por lei.
29,Qual a pena para quem praticar o crime de periclitação da vida?,"A pena é de detenção, de três meses a um ano, se o fato não constitui crime mais grave."
30,O que se considera corrupção passiva no setor público?,Solicitar ou receber vantagens indevidas a pretexto de influir em ato de ofício.
31,O que caracteriza a violência física?,Uso de força para causar dano ou constrangimento a outrem durante a execução de um crime.
32,Quais são os direitos do preso de acordo com o Código Penal?,"O preso conserva direitos não atingidos pela perda da liberdade, incluindo o respeito à sua integridade física e moral."
33,Quando a pena de multa pode ser convertida em restritiva de direitos?,Quando a pena privativa de liberdade é inferior a um ano e o crime não for violento.
34,O que é considerado crime a partir de uma associação criminosa?,Associar-se três ou mais pessoas para cometer crimes.
35,O que caracteriza a lesão corporal em contexto de violência doméstica?,"A lesão corporal praticada contra cônjuge ou companheiro, com gravidade que implique aumento da pena."
36,Quando uma pena pode ser atenuada por circunstâncias pessoais?,"Quando o agente tem menos de 21 anos ou mais de 70 anos, entre outras circunstâncias atenuantes."
37,O que acontece em caso de um crime culposo que resulta em morte?,O agente responde com pena aumentada de acordo com a gravidade da situação.
38,O que se estabelece sobre a falsidade documental?,"A falsificação de documentos públicos é punível, com penas que variam conforme a gravidade do crime."
39,O que caracteriza o crime de sonegação?,Deixar de pagar tributos ou contribuições que são devidas.
